block	fixation	reaction	lapsus	last5	vas
					0.6025
1	3	0.40960030001588166	False	0.40960030001588166	
1	4	0.3371761000016704	False	0.37338820000877604	
1	4	0.3082132000126876	False	0.3516632000100799	
1	11	0.3116920999600552	False	0.3416704249975737	
1	3	0.471930900006555	False	0.36772251999937	
1	10	0.38412740000057966	False	0.30218994999692467	
1	3	0.5079496999969706	False	0.2834161857109783	
1	11	0.4436268000281416	False	0.26491586249903776	
1	6	0.3518964999821037	False	0.23994792222381672	
1	5	0.28991619998123497	False	0.19775165999890304	
					0.815
